Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
4/1/2012 11:00,-0.9,-8.7,66,13,48.3,100.79,Mainly Clear
4/1/2012 12:00,4.1,-10.1,66,4,48.3,100.88,Mostly Cloudy
4/1/2012 13:00,30.8,19.2,66,20,24.1,101.84,Mainly Clear
4/1/2012 14:00,4.7,2.4,67,15,25,101.19,Mostly Cloudy
4/1/2012 15:00,1.9,-1.4,67,7,48.3,101.28,Clear
4/1/2012 16:00,-5.5,-8.5,67,11,11.3,101.41,Cloudy
4/1/2012 17:00,11.9,6.7,68,13,25,100.65,Rain Showers
4/1/2012 18:00,21.3,16,68,0,25,101,Mainly Clear
4/1/2012 19:00,4.6,0.5,68,9,25,102.18,Cloudy
4/1/2012 20:00,14.4,-1.8,68,9,48.3,102.36,Mostly Cloudy
4/1/2012 21:00,16.3,11.2,68,13,25,103.05,Clear
4/1/2012 22:00,-6.8,-14.1,68,26,24.1,100.35,Mostly Cloudy
4/1/2012 23:00,23.1,11.8,68,4,48.3,100.65,Mainly Clear
5/1/2012 0:00,23.2,16,69,13,24.1,101.3,Cloudy
5/1/2012 1:00,17.8,10.5,69,4,48.3,101.45,Clear
5/1/2012 2:00,-2.6,-6.9,69,7,25,99.3,Clear
5/1/2012 3:00,18.1,11.5,70,17,48.3,101.12,Mostly Cloudy
5/1/2012 4:00,24.8,15.7,70,30,24.1,101.32,Mostly Cloudy
5/1/2012 5:00,19.7,19,70,4,12.9,102.61,Cloudy
5/1/2012 6:00,-7.6,-9.4,70,32,3.2,100.56,"Snow,Fog"
5/1/2012 7:00,-9.5,-14.8,72,32,48.3,101.11,Cloudy
5/1/2012 8:00,16,15.3,72,9,25,100.06,Rain Showers
5/1/2012 9:00,-1.8,-4.2,73,15,6.4,101.28,Snow
5/1/2012 10:00,2,-1.6,73,41,24.1,101.46,Mostly Cloudy
5/1/2012 11:00,-3.2,-8.2,73,13,24.1,101.65,Mainly Clear
5/1/2012 12:00,-7.9,-16.4,73,11,25,100.6,Cloudy
5/1/2012 13:00,-6.7,-14.1,74,11,25,101.33,Mainly Clear
5/1/2012 14:00,24,17.8,74,20,24.1,101.82,Rain Showers
5/1/2012 15:00,-6.4,-8.4,75,9,24.1,101.3,Mostly Cloudy
5/1/2012 16:00,1.7,-0.3,75,6,9.7,101.47,Snow
5/1/2012 17:00,-2.7,-8.6,75,19,48.3,101.47,Mainly Clear
5/1/2012 18:00,1.7,-3.6,75,19,25,101.64,Mostly Cloudy
5/1/2012 19:00,6.9,0.3,76,22,24.1,100.19,Rain Showers
5/1/2012 20:00,2.7,-5.9,76,7,48.3,101.17,Mainly Clear
5/1/2012 21:00,17.6,9.8,76,19,25,101.41,Mostly Cloudy
5/1/2012 22:00,14,9.3,76,4,25,101.58,Clear
5/1/2012 23:00,-11.7,-18,76,15,24.1,101.58,Mainly Clear
6/1/2012 0:00,-10.6,-16,76,0,9.7,102.31,Snow
6/1/2012 1:00,-3.8,-6.5,77,7,25,99.75,Mostly Cloudy
6/1/2012 2:00,-2.3,-9.5,77,15,48.3,99.95,Clear
6/1/2012 3:00,2.1,-5.9,77,30,24.1,100.46,Cloudy
6/1/2012 4:00,-14.8,-24.1,77,24,48.3,101.13,Mainly Clear
6/1/2012 5:00,7.7,4.7,77,0,25,101.21,Rain Showers
6/1/2012 6:00,10,5.4,77,39,25,101.3,Cloudy
6/1/2012 7:00,27.2,11.7,77,17,48.3,101.44,Mainly Clear
6/1/2012 8:00,3.6,-3.1,77,19,24.1,101.44,Mostly Cloudy
6/1/2012 9:00,21.5,18.3,77,13,24.1,101.62,Cloudy
6/1/2012 10:00,29.9,15.4,78,11,24.1,102.23,Mainly Clear
6/1/2012 11:00,15.4,11.9,78,0,25,99.48,Mainly Clear
6/1/2012 12:00,0.3,-3.3,78,11,25,101.02,Cloudy
6/1/2012 13:00,21.9,18.2,78,15,24.1,101.55,Cloudy
6/1/2012 14:00,20.8,14.3,80,11,25,100.54,Mainly Clear
6/1/2012 15:00,23.2,7,80,13,48.3,100.6,Clear
6/1/2012 16:00,14.8,13.5,80,19,9.7,100.86,Fog
6/1/2012 17:00,2.5,-5.5,80,11,25,101.21,Clear
6/1/2012 18:00,-2.8,-6.7,80,6,25,101.31,Clear
6/1/2012 19:00,-3.5,-5.2,81,15,19.3,101.71,Snow
6/1/2012 20:00,8.1,4.7,81,11,24.1,99.75,Cloudy
6/1/2012 21:00,11.7,9.9,81,11,25,100.97,Cloudy
6/1/2012 22:00,2.8,1.6,81,24,12.9,101.33,Cloudy
6/1/2012 23:00,9.5,2.3,82,19,48.3,101.98,Mostly Cloudy
7/1/2012 0:00,12.5,2.9,82,4,48.3,100.55,Mostly Cloudy
7/1/2012 1:00,-8.3,-13.5,82,17,24.1,100.93,Cloudy
7/1/2012 2:00,-9.1,-10.4,82,11,4,101.62,"Snow,Fog"
7/1/2012 3:00,21.9,18.1,83,15,24.1,101.85,Cloudy
7/1/2012 4:00,-3.4,-5.9,83,11,25,99.47,Mostly Cloudy
7/1/2012 5:00,-11.9,-16,84,13,25,101.29,Mainly Clear
7/1/2012 6:00,5.3,-9.4,84,22,25,102.41,Mostly Cloudy
7/1/2012 7:00,-0.2,-1.8,85,28,9.7,103.15,Snow
7/1/2012 8:00,6.7,4.7,85,7,25,99.38,Mainly Clear
7/1/2012 9:00,7.6,5.6,85,9,24.1,101.45,Rain
7/1/2012 10:00,20.7,15,86,7,24.1,102.1,Mostly Cloudy
7/1/2012 11:00,21.1,17.3,86,17,24.1,100.77,Cloudy
7/1/2012 12:00,-1.5,-9.6,86,26,24.1,101.06,Cloudy
7/1/2012 13:00,-11.3,-14.4,86,11,24.1,101.37,Cloudy
7/1/2012 14:00,1.9,-2.1,87,26,25,100.87,"Rain,Snow Grains"
7/1/2012 15:00,13,9.5,88,0,25,101.5,Mainly Clear
7/1/2012 16:00,17.3,13.9,88,11,24.1,101.58,Cloudy
7/1/2012 17:00,-7.3,-9.2,88,11,24.1,102.63,Mostly Cloudy
7/1/2012 18:00,14.9,8.6,88,13,24.1,101.19,Mainly Clear
7/1/2012 19:00,-0.4,-5.9,89,20,25,99.79,Mostly Cloudy
7/1/2012 20:00,-9.1,-10.4,89,11,3.6,100.27,"Snow,Fog"
7/1/2012 21:00,5.9,4.8,89,11,19.3,100.73,Rain Showers
7/1/2012 22:00,4.2,1,90,24,25,102.11,Mostly Cloudy
7/1/2012 23:00,23,12.8,92,24,48.3,101.88,Mainly Clear
8/1/2012 0:00,21.3,19.3,92,15,25,100.47,Cloudy
8/1/2012 1:00,20.6,14.5,92,9,48.3,100.89,Mainly Clear
8/1/2012 2:00,10.6,7.5,92,0,16.1,101.02,Cloudy
8/1/2012 3:00,2.9,1.1,93,4,25,101.63,Cloudy
8/1/2012 4:00,22.8,11.8,94,4,25,100.45,Mainly Clear
8/1/2012 5:00,19.4,12.8,95,20,12.9,101.01,Rain Showers
8/1/2012 6:00,-4.6,-8.8,96,7,24.1,103.5,Mainly Clear
8/1/2012 7:00,23.8,16.9,97,19,48.3,100.61,Cloudy
8/1/2012 8:00,2.1,-7.4,98,26,24.1,101.02,Mostly Cloudy
8/1/2012 9:00,19.6,11.4,98,17,24.1,101.17,Mainly Clear
8/1/2012 10:00,21.1,18.6,26,26,24.1,100.87,Cloudy
8/1/2012 11:00,2.6,-1.1,28,22,24.1,101.51,Mainly Clear
8/1/2012 12:00,22.4,10.8,32,13,48.3,100.78,Mostly Cloudy
8/1/2012 13:00,6.1,-9.5,33,7,48.3,101.25,Cloudy
8/1/2012 14:00,26.4,11.9,34,20,16.1,101.72,Rain Showers
8/1/2012 15:00,22.4,18.7,34,35,9.7,101.77,"Thunderstorms,Rain Showers,Fog"
8/1/2012 16:00,14.2,9.2,35,44,25,99.49,Mostly Cloudy
8/1/2012 17:00,19,14.3,36,24,24.1,100.51,Mostly Cloudy
8/1/2012 18:00,5,2.7,37,20,24.1,101.46,Drizzle
8/1/2012 19:00,1.1,0.2,38,22,4.8,102.02,Snow
8/1/2012 20:00,19.4,14.3,40,11,48.3,101.01,Mainly Clear
8/1/2012 21:00,25.1,10.5,40,13,48.3,101.02,Mostly Cloudy
8/1/2012 22:00,6.2,-5.5,40,26,24.1,101.03,Mostly Cloudy
8/1/2012 23:00,3.8,-5.7,40,13,48.3,101.08,Clear
9/1/2012 0:00,19.1,7.5,41,20,48.3,101.5,Clear
9/1/2012 1:00,8,6.2,41,17,19.3,102.38,Rain
9/1/2012 2:00,4.9,4.3,42,17,8,100.56,"Rain,Fog"
9/1/2012 3:00,18.6,16.1,42,17,25,100.65,Cloudy
9/1/2012 4:00,6.6,2.9,42,7,25,100.81,Clear
9/1/2012 5:00,2.1,0.7,43,11,8,101.44,Fog
9/1/2012 6:00,-4.9,-7.6,43,26,2.4,101.87,Snow
9/1/2012 7:00,3,-4.3,44,22,24.1,99.95,Mostly Cloudy
9/1/2012 8:00,14.8,10.6,45,6,25,100.79,Cloudy
9/1/2012 9:00,11.3,3,46,19,48.3,101.61,Mostly Cloudy
9/1/2012 10:00,19.2,16,48,15,12.9,103.05,Rain Showers
9/1/2012 11:00,0.7,-9,49,4,25,100.61,Clear
9/1/2012 12:00,26.5,11.3,49,4,48.3,100.89,Mostly Cloudy
9/1/2012 13:00,-1.4,-5.1,49,7,24.1,101.62,Cloudy
9/1/2012 14:00,6.6,-5.3,50,22,24.1,101.89,Mostly Cloudy
9/1/2012 15:00,3.8,1.5,50,19,24.1,101.98,Rain
9/1/2012 16:00,-7.1,-9.6,50,22,2,100.28,Snow
9/1/2012 17:00,23.1,16.1,51,15,24.1,101.24,Mostly Cloudy
9/1/2012 18:00,15.7,12.4,52,6,48.3,103.18,Mainly Clear
9/1/2012 19:00,16.6,16.3,52,20,6.4,98.79,Rain
9/1/2012 20:00,0.8,-1.2,52,30,9.7,100.51,"Rain,Snow"
9/1/2012 21:00,0.8,-4.7,52,15,25,101.33,Mostly Cloudy
9/1/2012 22:00,2.1,-5.8,53,11,25,102.07,Clear
9/1/2012 23:00,15.7,15.2,54,4,25,101.03,Cloudy
10/1/2012 0:00,-16.9,-24.8,54,9,25,102.1,Mainly Clear
10/1/2012 1:00,9.4,5.8,54,11,25,102.55,Mostly Cloudy
10/1/2012 2:00,19.2,14.4,54,19,24.1,99.37,Cloudy
10/1/2012 3:00,1.8,-1.3,55,0,16.1,101.36,Mostly Cloudy
10/1/2012 4:00,11.2,9.8,55,15,9.7,101.98,"Rain,Fog"
10/1/2012 5:00,-7.7,-9.9,55,6,2.4,99.86,"Freezing Drizzle,Snow"
10/1/2012 6:00,-9.3,-14.9,55,19,48.3,99.98,Mainly Clear
10/1/2012 7:00,21.8,14.8,56,6,25,100.41,Mostly Cloudy
10/1/2012 8:00,20.3,10.3,56,6,48.3,100.84,Clear
10/1/2012 9:00,-17.4,-24.4,56,13,25,101.11,Mostly Cloudy
10/1/2012 10:00,11.4,8.9,56,6,16.1,101.61,Cloudy
10/1/2012 11:00,-3.2,-5.3,57,6,9.7,101.02,Snow
10/1/2012 12:00,23.9,7.7,57,17,48.3,101.38,Mainly Clear
10/1/2012 13:00,11.6,11.4,58,7,25,102.11,Clear
10/1/2012 14:00,19.6,18.5,58,15,3.2,99.94,"Thunderstorms,Moderate Rain Showers,Fog"
10/1/2012 15:00,25.5,17.8,58,4,24.1,100.48,Cloudy
10/1/2012 16:00,24.5,12.2,58,28,48.3,100.6,Mostly Cloudy
10/1/2012 17:00,-2.8,-5,58,0,25,100.95,Cloudy
10/1/2012 18:00,20.3,14.3,58,11,24.1,101.4,Cloudy
10/1/2012 19:00,-2.6,-8.5,59,24,25,101.89,Mainly Clear
10/1/2012 20:00,13.1,8.9,59,15,24.1,100.31,Rain Showers
10/1/2012 21:00,16.6,14.5,60,6,24.1,100.69,Cloudy
10/1/2012 22:00,-0.4,-1.5,60,13,12.9,101.16,Cloudy
10/1/2012 23:00,19.6,18.5,61,24,4.8,101.81,"Rain,Fog"
11/1/2012 0:00,1.2,-0.6,61,9,25,100.2,Mainly Clear
11/1/2012 1:00,21.8,12.7,61,11,48.3,101.3,Mostly Cloudy
11/1/2012 2:00,28.6,20,61,11,24.1,101.72,Cloudy
11/1/2012 3:00,17.3,13.7,62,6,48.3,101.93,Mainly Clear
11/1/2012 4:00,2.6,0.5,62,24,16.1,102.46,Rain
11/1/2012 5:00,20.7,14.8,62,6,24.1,101.18,Cloudy
11/1/2012 6:00,4.8,-0.3,62,15,25,101.36,Mostly Cloudy
11/1/2012 7:00,18.6,14.7,62,15,25,101.48,Rain Showers
11/1/2012 8:00,12.9,11.4,64,6,4.8,101.68,"Drizzle,Fog"
11/1/2012 9:00,21.1,15.2,64,19,25,101.72,Clear
11/1/2012 10:00,-1.8,-3.7,64,4,9.7,100.53,Snow
11/1/2012 11:00,-3.6,-6.1,64,4,25,101.38,Clear
11/1/2012 12:00,27.6,13.5,64,22,48.3,101.55,Mainly Clear
11/1/2012 13:00,-9.2,-11.6,64,7,25,101.9,Clear
11/1/2012 14:00,6.5,-9.7,65,9,48.3,100.2,Clear
11/1/2012 15:00,27.9,17.5,65,11,24.1,100.27,Mainly Clear
11/1/2012 16:00,13.1,1.4,65,22,48.3,101.37,Mainly Clear
11/1/2012 17:00,16.6,9.9,65,13,25,101.39,Clear
11/1/2012 18:00,1.1,-0.9,65,9,4.8,101.49,Haze
11/1/2012 19:00,15.9,8.7,65,9,24.1,101.54,Mostly Cloudy
11/1/2012 20:00,-5,-7.4,65,7,25,102.08,Clear
11/1/2012 21:00,-2.5,-7.7,66,26,25,101.27,Cloudy
11/1/2012 22:00,19.9,-4,66,11,48.3,101.92,Mostly Cloudy
11/1/2012 23:00,24.2,18.5,66,13,24.1,102.75,Mostly Cloudy
12/1/2012 0:00,0.6,-3.2,67,32,25,100.3,Cloudy
12/1/2012 1:00,9.3,6.4,67,7,25,101.23,Clear
12/1/2012 2:00,4.2,2.8,68,0,24.1,99.91,Mainly Clear
12/1/2012 3:00,15.9,11,68,0,25,100.51,Mostly Cloudy
12/1/2012 4:00,1.1,-3.5,68,30,24.1,100.94,Cloudy
12/1/2012 5:00,-7.2,-9.6,69,9,25,100.87,Snow
12/1/2012 6:00,9,5.8,69,11,48.3,101.01,Mostly Cloudy
12/1/2012 7:00,-9.5,-12.7,69,6,9.7,101.45,Snow
12/1/2012 8:00,15.6,4.5,69,26,48.3,100.2,Mainly Clear
12/1/2012 9:00,20.3,11.5,69,17,48.3,100.52,Mostly Cloudy
12/1/2012 10:00,26.7,11.3,70,11,48.3,101.29,Mostly Cloudy
12/1/2012 11:00,-4,-7.1,70,9,25,101.33,Mainly Clear
12/1/2012 12:00,24.8,16.5,70,9,24.1,101.63,Mainly Clear
12/1/2012 13:00,1.1,-3.5,70,11,25,101.84,Mainly Clear
12/1/2012 14:00,1.2,0.6,70,13,6.4,103.22,Fog
12/1/2012 15:00,22.7,19.2,70,13,24.1,103.26,Mainly Clear
12/1/2012 16:00,27.2,17.5,70,28,24.1,99.89,Mostly Cloudy
12/1/2012 17:00,-14.3,-22,70,9,25,100.04,Cloudy
12/1/2012 18:00,4.6,-2.1,70,9,25,100.13,Mainly Clear
12/1/2012 19:00,24.6,14.4,70,19,48.3,100.56,Mainly Clear
12/1/2012 20:00,17.9,13.9,70,9,24.1,100.65,Mostly Cloudy
12/1/2012 21:00,0.7,-3,71,9,19.3,102.16,Cloudy
12/1/2012 22:00,21.3,18.3,71,13,16.1,102.82,"Thunderstorms,Rain"
12/1/2012 23:00,32.5,17.9,71,24,24.1,99.9,Mainly Clear
1/2/2012 0:00,-11.8,-20.9,71,20,24.1,100.36,Mostly Cloudy
1/2/2012 1:00,8.4,4,71,6,25,100.83,Clear
1/2/2012 2:00,19.6,15.1,72,19,24.1,100.46,Mostly Cloudy
1/2/2012 3:00,-5.5,-11.3,72,0,25,100.5,Mostly Cloudy
1/2/2012 4:00,-1.3,-5.3,72,9,25,100.5,Mainly Clear
1/2/2012 5:00,21.1,17.3,72,11,25,100.59,Clear
1/2/2012 6:00,17.9,11,72,19,24.1,100.74,Mostly Cloudy
1/2/2012 7:00,-8.4,-12.1,72,20,1.2,100.8,Snow
1/2/2012 8:00,0.5,-4.8,73,32,25,101.06,Mostly Cloudy
1/2/2012 9:00,-10,-12,73,20,6.4,101.6,"Snow,Fog"
1/2/2012 10:00,16.4,14.3,73,15,19.3,101.88,Cloudy
1/2/2012 11:00,22.3,14.5,73,7,48.3,100.42,Mainly Clear
1/2/2012 12:00,11.6,11.5,73,4,9.7,100.52,"Rain,Fog"
1/2/2012 13:00,-19.9,-26,74,13,25,101.08,Mostly Cloudy
1/2/2012 14:00,29.1,17.3,74,7,48.3,101.13,Mainly Clear
1/2/2012 15:00,4.6,-7.8,74,24,48.3,101.39,Clear
1/2/2012 16:00,-1.3,-3.1,74,15,4,101.64,Fog
1/2/2012 17:00,-11.2,-16,75,11,8,100.71,Haze
1/2/2012 18:00,-5.6,-8.6,75,19,16.1,100.76,Snow
1/2/2012 19:00,4,1,75,11,9.7,101.52,"Rain,Haze"
1/2/2012 20:00,18.9,10.8,75,24,48.3,101.72,Mostly Cloudy
1/2/2012 21:00,17.2,10.2,75,15,24.1,101.84,Mostly Cloudy
1/2/2012 22:00,6.6,3.5,75,17,25,102.09,Cloudy
1/2/2012 23:00,20,17.2,75,6,24.1,102.33,Mostly Cloudy
2/2/2012 0:00,-10.9,-13.2,75,13,25,99.51,Mainly Clear
2/2/2012 1:00,5.9,-5,76,9,25,101.11,Rain Showers
2/2/2012 2:00,19.8,13.6,76,9,25,101.5,Mainly Clear
2/2/2012 3:00,6.4,4.4,76,0,25,101.91,Clear
2/2/2012 4:00,30.7,19.7,76,17,48.3,102.02,Mostly Cloudy
2/2/2012 5:00,11.4,6.7,77,15,25,100.17,Mainly Clear
2/2/2012 6:00,13,9,77,15,24.1,100.53,Clear
2/2/2012 7:00,21.5,11.6,77,7,24.1,101.07,Mainly Clear
2/2/2012 8:00,21.5,11.8,77,11,24.1,101.79,Clear
2/2/2012 9:00,9.1,0.9,78,30,25,102.65,Rain
2/2/2012 10:00,12,8.1,78,11,24.1,102.74,Cloudy
2/2/2012 11:00,0.5,-0.8,78,24,11.3,103.11,Rain
2/2/2012 12:00,20.4,10.6,78,15,48.3,100.77,Mainly Clear
2/2/2012 13:00,1,-3.2,78,22,25,100.9,Cloudy
2/2/2012 14:00,-12,-18.9,78,19,25,101.12,Clear
2/2/2012 15:00,22,8.7,78,15,48.3,101.24,Mostly Cloudy
2/2/2012 16:00,10.9,9.3,79,17,24.1,100.49,Mostly Cloudy
2/2/2012 17:00,25.6,10.5,79,9,25,100.69,Mainly Clear
2/2/2012 18:00,-9.2,-14.3,79,6,25,100.95,Mostly Cloudy
2/2/2012 19:00,14.3,13.1,80,6,24.1,101.79,Cloudy
2/2/2012 20:00,6.5,3.9,80,11,25,101.04,Mainly Clear
2/2/2012 21:00,4.1,-2.8,80,7,48.3,101.2,Cloudy
2/2/2012 22:00,-1.5,-4.4,81,19,25,102.66,Mostly Cloudy
2/2/2012 23:00,7.7,-11,81,32,48.3,103.18,Mostly Cloudy
3/2/2012 0:00,-8.8,-14.4,82,6,25,102.06,Clear
3/2/2012 1:00,14.6,7.9,82,11,25,103.26,Clear
3/2/2012 2:00,20.8,17.6,82,7,25,101.01,Clear
3/2/2012 3:00,19.8,10.1,82,32,48.3,101.08,Mostly Cloudy
3/2/2012 4:00,12.8,8,82,6,25,101.11,Clear
3/2/2012 5:00,1.2,-3.9,82,15,25,101.27,Mainly Clear
3/2/2012 6:00,-5.7,-11.9,83,17,25,100.64,Cloudy
3/2/2012 7:00,7.6,6.3,83,6,24.1,101.1,Mainly Clear
3/2/2012 8:00,17.9,15.1,83,9,24.1,101.39,Cloudy
3/2/2012 9:00,16.6,8.3,83,9,25,102.27,Cloudy
3/2/2012 10:00,3.7,3.2,83,7,6.4,100.12,Fog
3/2/2012 11:00,22.8,16.7,84,19,48.3,101.85,Mainly Clear
3/2/2012 12:00,18.2,16.1,86,9,2,102.02,"Rain,Fog"
3/2/2012 13:00,7.5,4.2,86,19,25,101.31,Rain Showers
3/2/2012 14:00,18.8,12,86,13,25,101.57,Cloudy
3/2/2012 15:00,26.3,19.2,86,13,24.1,101.72,Mostly Cloudy
3/2/2012 16:00,3.7,-2.5,87,15,24.1,99.73,Cloudy
3/2/2012 17:00,22,7.1,87,19,48.3,100.32,Clear
3/2/2012 18:00,30.2,17.1,87,11,48.3,100.49,Mainly Clear
3/2/2012 19:00,-9,-11,89,4,25,101.34,Clear
3/2/2012 20:00,-1.7,-5.2,89,4,25,101.34,Clear
3/2/2012 21:00,11.9,10.6,89,9,9.7,101.38,Fog
3/2/2012 22:00,-4.3,-7,89,7,25,101.91,Clear
3/2/2012 23:00,24.8,22.6,89,22,19.3,101.92,Cloudy
4/2/2012 0:00,10.7,5.9,89,22,25,100.6,Cloudy
4/2/2012 1:00,7.3,5.7,90,6,16.1,101.07,Drizzle
4/2/2012 2:00,1.1,-5.3,90,9,24.1,102.92,Mostly Cloudy
4/2/2012 3:00,1.2,-1.2,91,7,16.1,101.11,Cloudy
4/2/2012 4:00,6.3,2,91,0,24.1,101.24,Mainly Clear
4/2/2012 5:00,3.3,-0.9,91,11,25,101.69,Mostly Cloudy
4/2/2012 6:00,19.3,13.4,92,17,48.3,101.99,Mostly Cloudy
